date	dateNorm	deaths	cumDeaths	totalTweets	nonRTs	rTs	pos	neg	neu
1300399200	18/03/2011	4	4	0	0	0	0	0	0
1300485600	19/03/2011	1	5	0	0	0	0	0	0
1300572000	20/03/2011	2	7	0	0	0	0	0	0
1300658400	21/03/2011	1	8	0	0	0	0	0	0
1300744800	22/03/2011	7	15	0	0	0	0	0	0
1300831200	23/03/2011	51	66	0	0	0	0	0	0
1300917600	24/03/2011	0	66	0	0	0	0	0	0
1301004000	25/03/2011	19	85	0	0	0	0	0	0
1301090400	26/03/2011	15	100	0	0	0	0	0	0
1301176800	27/03/2011	6	106	0	0	0	0	0	0
1301259600	28/03/2011	7	113	0	0	0	0	0	0
1301346000	29/03/2011	0	113	0	0	0	0	0	0
1301432400	30/03/2011	6	119	0	0	0	0	0	0
1301518800	31/03/2011	0	119	0	0	0	0	0	0
1301605200	01/04/2011	30	149	0	0	0	0	0	0
1301691600	02/04/2011	0	149	0	0	0	0	0	0
1301778000	03/04/2011	0	149	0	0	0	0	0	0
1301864400	04/04/2011	0	149	0	0	0	0	0	0
1301950800	05/04/2011	4	153	0	0	0	0	0	0
1302037200	06/04/2011	0	153	0	0	0	0	0	0
1302123600	07/04/2011	0	153	0	0	0	0	0	0
1302210000	08/04/2011	71	224	0	0	0	0	0	0
1302296400	09/04/2011	6	230	0	0	0	0	0	0
1302382800	10/04/2011	21	251	0	0	0	0	0	0
1302469200	11/04/2011	7	258	0	0	0	0	0	0
1302555600	12/04/2011	8	266	0	0	0	0	0	0
1302642000	13/04/2011	2	268	0	0	0	0	0	0
1302728400	14/04/2011	1	269	0	0	0	0	0	0
1302814800	15/04/2011	11	280	0	0	0	0	0	0
1302901200	16/04/2011	4	284	0	0	0	0	0	0
1302987600	17/04/2011	44	328	0	0	0	0	0	0
1303074000	18/04/2011	4	332	0	0	0	0	0	0
1303160400	19/04/2011	10	342	0	0	0	0	0	0
1303246800	20/04/2011	0	342	0	0	0	0	0	0
1303333200	21/04/2011	4	346	0	0	0	0	0	0
1303419600	22/04/2011	154	500	0	0	0	0	0	0
1303506000	23/04/2011	49	549	0	0	0	0	0	0
1303592400	24/04/2011	36	585	0	0	0	0	0	0
1303678800	25/04/2011	22	607	0	0	0	0	0	0
1303765200	26/04/2011	29	636	0	0	0	0	0	0
1303851600	27/04/2011	14	650	0	0	0	0	0	0
1303938000	28/04/2011	25	675	0	0	0	0	0	0
1304024400	29/04/2011	161	836	0	0	0	0	0	0
1304110800	30/04/2011	6	842	0	0	0	0	0	0
1304197200	01/05/2011	65	907	0	0	0	0	0	0
1304283600	02/05/2011	2	909	0	0	0	0	0	0
1304370000	03/05/2011	10	919	0	0	0	0	0	0
1304456400	04/05/2011	3	922	0	0	0	0	0	0
1304542800	05/05/2011	2	924	0	0	0	0	0	0
1304629200	06/05/2011	43	967	0	0	0	0	0	0
1304715600	07/05/2011	14	981	0	0	0	0	0	0
1304802000	08/05/2011	24	1005	0	0	0	0	0	0
1304888400	09/05/2011	4	1009	0	0	0	0	0	0
1304974800	10/05/2011	17	1026	0	0	0	0	0	0
1305061200	11/05/2011	27	1053	0	0	0	0	0	0
